idx,block,trial,stimuli,reward,response,trialtype,regret
0,4,30,red/blue,60,red,decision,20
0,4,31,green/yellow,0,green,decision,20
0,4,32,blue/green,40,blue,catch,0
0,4,33,blue/yellow,80,blue,catch,0
0,4,34,red/green,60,red,catch,0
0,4,35,blue/red,80,blue,decision,0
0,4,36,blue/red,80,blue,decision,0
0,4,37,blue/red,40,blue,decision,20
0,4,38,blue/red,80,blue,decision,0
0,4,39,green/yellow,20,yellow,decision,0
0,4,40,green/red,0,green,catch,60
0,5,1,red/blue,60,red,decision,20
0,5,2,green/blue,40,green,catch,0
0,5,3,green/yellow,40,green,decision,0
0,5,4,green/yellow,40,green,decision,0
0,5,5,blue/red,40,blue,decision,20
0,5,6,yellow/green,20,yellow,decision,0
0,5,7,green/blue,40,green,catch,0
0,5,8,green/yellow,0,green,decision,20
0,5,9,red/blue,60,red,decision,0
0,5,10,yellow/red,20,yellow,catch,40
0,5,11,green/yellow,40,green,decision,0
0,5,12,red/green,60,red,catch,0
0,5,13,red/blue,40,blue,decision,20
0,5,14,green/red,40,green,catch,20
0,5,15,green/red,40,green,catch,20
0,5,16,yellow/green,20,yellow,decision,20
0,5,17,green/yellow,0,green,decision,20
0,5,18,green/blue,40,blue,catch,0
0,5,19,blue/red,40,blue,decision,20
0,5,20,green/yellow,40,green,decision,0
0,5,21,blue/yellow,40,blue,catch,0
0,5,22,green/blue,80,blue,catch,0
0,5,23,blue/red,40,blue,decision,20
0,5,24,green/blue,0,green,catch,40
0,5,25,green/yellow,40,green,decision,0
0,5,26,yellow/green,20,yellow,decision,0
0,5,27,blue/yellow,40,blue,catch,0
0,5,28,yellow/green,20,yellow,decision,0
0,5,29,red/blue,60,red,decision,0
0,5,30,blue/red,80,blue,decision,0
0,5,31,green/yellow,40,green,decision,0
0,5,32,yellow/red,20,yellow,catch,40
0,5,33,green/yellow,40,green,decision,0
0,5,34,blue/green,80,blue,catch,0
0,5,35,red/blue,60,red,decision,0
0,5,36,yellow/green,20,yellow,decision,0
0,5,37,yellow/blue,20,yellow,catch,20
0,5,38,yellow/green,20,yellow,decision,20
0,5,39,green/red,0,green,catch,60
0,5,40,blue/green,80,blue,catch,0
0,6,1,red/blue,60,red,decision,0
0,6,2,green/yellow,40,green,decision,0
0,6,3,yellow/green,20,yellow,decision,20
0,6,4,yellow/green,20,yellow,decision,20
0,6,5,blue/red,80,blue,decision,0
0,6,6,red/green,60,red,catch,0
0,6,7,green/yellow,0,green,decision,20
0,6,8,yellow/green,20,yellow,decision,0
0,6,9,green/yellow,0,green,decision,20
0,6,10,yellow/blue,20,yellow,catch,60
0,6,11,yellow/red,20,yellow,catch,40
0,6,12,blue/red,40,blue,decision,20
0,6,13,red/blue,40,blue,decision,20
0,6,14,blue/red,40,blue,decision,20
0,6,15,blue/yellow,80,blue,catch,0
0,6,16,red/blue,80,blue,decision,0
0,6,17,red/green,60,red,catch,0
0,6,18,red/blue,80,blue,decision,0
0,6,19,red/green,60,red,catch,0
0,6,20,green/red,40,green,catch,20
0,6,21,green/yellow,40,green,decision,0
0,6,22,green/yellow,0,green,decision,20
0,6,23,red/blue,60,red,decision,20
0,6,24,green/red,40,green,catch,20
0,6,25,yellow/green,20,yellow,decision,20
0,6,26,red/blue,60,red,decision,0
0,6,27,yellow/red,20,yellow,catch,40
0,6,28,red/blue,60,red,decision,20
0,6,29,red/green,60,red,catch,0
0,6,30,yellow/green,20,yellow,decision,0
0,6,31,green/blue,0,green,catch,40
0,6,32,red/yellow,60,red,catch,0
0,6,33,red/blue,60,red,decision,20
0,6,34,yellow/red,20,yellow,catch,40
0,6,35,green/yellow,40,green,decision,0
0,6,36,red/yellow,60,red,catch,0
0,6,37,red/yellow,60,red,catch,0
0,6,38,green/yellow,40,green,decision,0
0,6,39,blue/red,40,blue,decision,20
0,6,40,green/red,40,green,catch,20
1,1,1,red/yellow,60,red,catch,0
1,1,2,blue/red,40,blue,decision,20
1,1,3,blue/red,40,blue,decision,20
1,1,4,green/yellow,0,green,decision,20
1,1,5,yellow/red,20,yellow,catch,40
1,1,6,green/yellow,0,green,decision,20
1,1,7,blue/green,40,blue,catch,0
1,1,8,yellow/green,20,yellow,decision,0
1,1,9,yellow/green,20,yellow,decision,20
1,1,10,blue/yellow,40,blue,catch,0
1,1,11,blue/yellow,80,blue,catch,0
1,1,12,yellow/red,20,yellow,catch,40
1,1,13,blue/red,80,blue,decision,0
1,1,14,green/yellow,40,green,decision,0
1,1,15,yellow/green,20,yellow,decision,20
1,1,16,blue/red,80,blue,decision,0
1,1,17,blue/green,80,blue,catch,0
1,1,18,blue/red,80,blue,decision,0
1,1,19,green/blue,80,blue,catch,0
