participant_id,n_Block,TypeTrial,n,acc
14,4,Decision Trial,24,0.5
14,5,Catch Trial,16,1
14,5,Decision Trial,24,0.7083333333333334
14,6,Catch Trial,16,0.9375
14,6,Decision Trial,24,0.75
15,1,Catch Trial,16,0.75
15,1,Decision Trial,24,0.4583333333333333
15,2,Catch Trial,16,0.9375
15,2,Decision Trial,24,0.20833333333333334
15,3,Catch Trial,16,0.9375
15,3,Decision Trial,24,0.08333333333333333
15,4,Catch Trial,16,0.9375
15,4,Decision Trial,24,0
15,5,Catch Trial,16,0.9375
15,5,Decision Trial,24,0.3333333333333333
15,6,Catch Trial,16,0.9375
15,6,Decision Trial,24,0.20833333333333334
20,1,Catch Trial,16,0.5625
20,1,Decision Trial,24,0.4583333333333333
20,2,Catch Trial,16,0.5
20,2,Decision Trial,24,0.4166666666666667
20,3,Catch Trial,16,0.75
20,3,Decision Trial,24,0.5833333333333334
20,4,Catch Trial,16,0.875
20,4,Decision Trial,24,0.5416666666666666
20,5,Catch Trial,16,0.8125
20,5,Decision Trial,24,0.625
20,6,Catch Trial,16,0.625
20,6,Decision Trial,24,0.6666666666666666
21,1,Catch Trial,16,0.6875
21,1,Decision Trial,24,0.7083333333333334
21,2,Catch Trial,16,0.9375
21,2,Decision Trial,24,0.625
21,3,Catch Trial,16,1
21,3,Decision Trial,24,0.25
21,4,Catch Trial,16,1
21,4,Decision Trial,24,0.20833333333333334
21,5,Catch Trial,16,1
21,5,Decision Trial,24,0.625
21,6,Catch Trial,16,1
21,6,Decision Trial,24,0.2916666666666667
22,1,Catch Trial,16,0.9375
22,1,Decision Trial,24,0.7916666666666666
22,2,Catch Trial,16,0.9375
22,2,Decision Trial,24,0.9166666666666666
22,3,Catch Trial,16,1
22,3,Decision Trial,24,0.75
22,4,Catch Trial,16,1
22,4,Decision Trial,24,0.7083333333333334
22,5,Catch Trial,16,0.9375
22,5,Decision Trial,24,0.5833333333333334
22,6,Catch Trial,16,0.9375
22,6,Decision Trial,24,0.5
23,1,Catch Trial,16,0.6875
23,1,Decision Trial,24,0.4166666666666667
23,2,Catch Trial,16,0.9375
23,2,Decision Trial,24,0.4583333333333333
23,3,Catch Trial,16,1
23,3,Decision Trial,24,0.5833333333333334
23,4,Catch Trial,16,0.9375
23,4,Decision Trial,24,0.5
23,5,Catch Trial,16,0.875
23,5,Decision Trial,24,0.5833333333333334
23,6,Catch Trial,16,1
23,6,Decision Trial,24,0.625
24,1,Catch Trial,16,0.875
24,1,Decision Trial,24,0.5
24,2,Catch Trial,16,1
24,2,Decision Trial,24,0.6666666666666666
24,3,Catch Trial,16,1
24,3,Decision Trial,24,0.375
24,4,Catch Trial,16,1
24,4,Decision Trial,24,0.5833333333333334
24,5,Catch Trial,16,1
24,5,Decision Trial,24,0.5
24,6,Catch Trial,16,1
24,6,Decision Trial,24,0.375
25,1,Catch Trial,16,0.9375
25,1,Decision Trial,24,0.3333333333333333
25,2,Catch Trial,16,0.9375
25,2,Decision Trial,24,0.5833333333333334
25,3,Catch Trial,16,1
25,3,Decision Trial,24,0.375
25,4,Catch Trial,16,1
25,4,Decision Trial,24,0.5
25,5,Catch Trial,16,1
25,5,Decision Trial,24,0.4166666666666667
25,6,Catch Trial,16,1
25,6,Decision Trial,24,0.5
26,1,Catch Trial,16,0.5625
26,1,Decision Trial,24,0.5416666666666666
26,2,Catch Trial,16,0.6875
26,2,Decision Trial,24,0.5
26,3,Catch Trial,16,0.3125
26,3,Decision Trial,24,0.5833333333333334
26,4,Catch Trial,16,0.5
26,4,Decision Trial,24,0.5416666666666666
26,5,Catch Trial,16,0.5
26,5,Decision Trial,24,0.5
26,6,Catch Trial,16,0.5625
26,6,Decision Trial,24,0.5833333333333334
27,1,Catch Trial,16,0.5625
27,1,Decision Trial,24,0.5
27,2,Catch Trial,16,0.875
27,2,Decision Trial,24,0.8333333333333334
27,3,Catch Trial,16,0.625
27,3,Decision Trial,24,0.75
27,4,Catch Trial,16,0.75
27,4,Decision Trial,24,0.75
27,5,Catch Trial,16,0.8125
27,5,Decision Trial,24,0.6666666666666666
27,6,Catch Trial,16,0.75
27,6,Decision Trial,24,0.7916666666666666
28,1,Catch Trial,16,0.875
28,1,Decision Trial,24,0.5
28,2,Catch Trial,16,1
28,2,Decision Trial,24,0.375
28,3,Catch Trial,16,1
28,3,Decision Trial,24,0.3333333333333333
28,4,Catch Trial,16,1
28,4,Decision Trial,24,0.25
28,5,Catch Trial,16,1
28,5,Decision Trial,24,0.2916666666666667
28,6,Catch Trial,16,0.875
28,6,Decision Trial,24,0.375
29,1,Catch Trial,16,0.5625
29,1,Decision Trial,24,0.4166666666666667
29,2,Catch Trial,16,0.9375
29,2,Decision Trial,24,0.08333333333333333
29,3,Catch Trial,16,0.9375
29,3,Decision Trial,24,0.041666666666666664
29,4,Catch Trial,16,0.8125
29,4,Decision Trial,24,0
29,5,Catch Trial,16,1
29,5,Decision Trial,24,0
29,6,Catch Trial,16,0.8125
29,6,Decision Trial,24,0.08333333333333333
30,1,Catch Trial,16,0.75
30,1,Decision Trial,24,0.6666666666666666
30,2,Catch Trial,16,0.875
30,2,Decision Trial,24,0.4166666666666667
30,3,Catch Trial,16,0.9375
30,3,Decision Trial,24,0.4583333333333333
30,4,Catch Trial,16,0.875
30,4,Decision Trial,24,0.4583333333333333
30,5,Catch Trial,16,1
30,5,Decision Trial,24,0.041666666666666664
30,6,Catch Trial,16,0.9375
30,6,Decision Trial,24,0.2916666666666667
31,1,Catch Trial,16,0.75
31,1,Decision Trial,24,0.125
31,2,Catch Trial,16,1
31,2,Decision Trial,24,0.08333333333333333
31,3,Catch Trial,16,1
31,3,Decision Trial,24,0.041666666666666664
31,4,Catch Trial,16,1
31,4,Decision Trial,24,0
31,5,Catch Trial,16,1
31,5,Decision Trial,24,0
31,6,Catch Trial,16,1
31,6,Decision Trial,24,0.041666666666666664
32,1,Catch Trial,16,1
32,1,Decision Trial,24,0.4166666666666667
32,2,Catch Trial,16,1
32,2,Decision Trial,24,0.2916666666666667
32,3,Catch Trial,16,1
32,3,Decision Trial,24,0.2916666666666667
32,4,Catch Trial,16,0.9375
32,4,Decision Trial,24,0.3333333333333333
32,5,Catch Trial,16,0.9375
32,5,Decision Trial,24,0.2916666666666667
32,6,Catch Trial,16,1
32,6,Decision Trial,24,0.2916666666666667
33,1,Catch Trial,16,0.875
33,1,Decision Trial,24,0.2916666666666667
33,2,Catch Trial,16,0.9375
33,2,Decision Trial,24,0.20833333333333334
33,3,Catch Trial,16,0.9375
33,3,Decision Trial,24,0.25
33,4,Catch Trial,16,1
33,4,Decision Trial,24,0.375
33,5,Catch Trial,16,1
33,5,Decision Trial,24,0.5416666666666666
33,6,Catch Trial,16,0.9375
33,6,Decision Trial,24,0.4583333333333333
